text,category
"My resume includes Python and Java skills",Resume
"Software engineer resume with projects",Resume
"Curriculum vitae for data analyst",Resume
"Invoice number 12345",Invoice
"Invoice for laptop purchase",Invoice
"Payment due within 7 days",Invoice
"Breaking news about technology",News
"Sports news from yesterday",News
"Latest political news",News
"Research paper on Artificial Intelligence",Research Paper
"Machine learning research publication",Research Paper
"Scientific paper on robotics",Research Paper